,Nstep,Time,Chain length,Chain number,Chain Type,Chain Value,Chain Mass,Average Mass,Average Length,GA conversion
Step 560000,560000,0.0020354810405384055,"[2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 3, 5, 4, 4, 5, 5, 3, 4, 4, 6, 4, 4, 3]","[250455, 250922, 2196, 2295, 12645, 12421, 128, 126, 488, 108, 459, 104, 21, 4, 9, 13, 1, 1, 5, 5, 1, 2, 1, 1]",24,"['LA-GA', 'GA-LA', 'GA-GA', 'LA-LA', 'GA-LA-GA', 'LA-GA-LA', 'LA-GA-GA', 'GA-LA-LA', 'GA-LA-GA-LA', 'LA-LA-GA', 'LA-GA-LA-GA', 'GA-GA-LA', 'GA-LA-GA-LA-GA', 'GA-LA-GA-GA', 'GA-LA-LA-GA', 'LA-GA-LA-GA-LA', 'LA-GA-GA-LA-GA', 'LA-LA-LA', 'LA-LA-GA-LA', 'LA-GA-LA-LA', 'LA-GA-LA-GA-LA-GA', 'LA-GA-GA-LA', 'GA-GA-LA-GA', 'GA-GA-GA']","[148.13, 148.13, 134.1, 162.16, 206.18, 220.20999999999998, 206.18, 220.20999999999998, 278.26, 220.20999999999998, 278.26, 206.18, 336.31, 264.23, 278.26, 350.34, 336.31, 234.24, 292.28999999999996, 292.28999999999996, 408.39, 278.26, 264.23, 192.14999999999998]",151.50129950357902,2.051818989464906,0.8179276666666667
Step 565000,565000,0.002055496523652393,"[2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 3, 5, 4, 4, 5, 5, 3, 4, 4, 6, 4, 4, 3]","[252402, 252978, 2209, 2310, 12850, 12644, 128, 129, 505, 111, 475, 105, 21, 4, 9, 13, 1, 1, 5, 5, 1, 2, 1, 1]",24,"['LA-GA', 'GA-LA', 'GA-GA', 'LA-LA', 'GA-LA-GA', 'LA-GA-LA', 'LA-GA-GA', 'GA-LA-LA', 'GA-LA-GA-LA', 'LA-LA-GA', 'LA-GA-LA-GA', 'GA-GA-LA', 'GA-LA-GA-LA-GA', 'GA-LA-GA-GA', 'GA-LA-LA-GA', 'LA-GA-LA-GA-LA', 'LA-GA-GA-LA-GA', 'LA-LA-LA', 'LA-LA-GA-LA', 'LA-GA-LA-LA', 'LA-GA-LA-GA-LA-GA', 'LA-GA-GA-LA', 'GA-GA-LA-GA', 'GA-GA-GA']","[148.13, 148.13, 134.1, 162.16, 206.18, 220.20999999999998, 206.18, 220.20999999999998, 278.26, 220.20999999999998, 278.26, 206.18, 336.31, 264.23, 278.26, 350.34, 336.31, 234.24, 292.28999999999996, 292.28999999999996, 408.39, 278.26, 264.23, 192.14999999999998]",151.53411597846937,2.052317893129202,0.816349
Step 570000,570000,0.0020756594942544547,"[2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 3, 5, 4, 4, 5, 5, 3, 4, 4, 6, 4, 4, 3]","[254387, 254937, 2223, 2322, 13062, 12899, 131, 131, 517, 113, 487, 108, 22, 4, 9, 13, 1, 1, 5, 5, 1, 2, 1, 1]",24,"['LA-GA', 'GA-LA', 'GA-GA', 'LA-LA', 'GA-LA-GA', 'LA-GA-LA', 'LA-GA-GA', 'GA-LA-LA', 'GA-LA-GA-LA', 'LA-LA-GA', 'LA-GA-LA-GA', 'GA-GA-LA', 'GA-LA-GA-LA-GA', 'GA-LA-GA-GA', 'GA-LA-LA-GA', 'LA-GA-LA-GA-LA', 'LA-GA-GA-LA-GA', 'LA-LA-LA', 'LA-LA-GA-LA', 'LA-GA-LA-LA', 'LA-GA-LA-GA-LA-GA', 'LA-GA-GA-LA', 'GA-GA-LA-GA', 'GA-GA-GA']","[148.13, 148.13, 134.1, 162.16, 206.18, 220.20999999999998, 206.18, 220.20999999999998, 278.26, 220.20999999999998, 278.26, 206.18, 336.31, 264.23, 278.26, 350.34, 336.31, 234.24, 292.28999999999996, 292.28999999999996, 408.39, 278.26, 264.23, 192.14999999999998]",151.5699200010344,2.0528610112637655,0.8147763333333333
Step 575000,575000,0.0020956330877512745,"[2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 3, 5, 4, 4, 5, 5, 3, 4, 4, 6, 4, 4, 3]","[256326, 256890, 2245, 2335, 13312, 13129, 132, 134, 530, 116, 504, 111, 22, 4, 9, 13, 1, 1, 6, 5, 1, 2, 1, 1]",24,"['LA-GA', 'GA-LA', 'GA-GA', 'LA-LA', 'GA-LA-GA', 'LA-GA-LA', 'LA-GA-GA', 'GA-LA-LA', 'GA-LA-GA-LA', 'LA-LA-GA', 'LA-GA-LA-GA', 'GA-GA-LA', 'GA-LA-GA-LA-GA', 'GA-LA-GA-GA', 'GA-LA-LA-GA', 'LA-GA-LA-GA-LA', 'LA-GA-GA-LA-GA', 'LA-LA-LA', 'LA-LA-GA-LA', 'LA-GA-LA-LA', 'LA-GA-LA-GA-LA-GA', 'LA-GA-GA-LA', 'GA-GA-LA-GA', 'GA-GA-GA']","[148.13, 148.13, 134.1, 162.16, 206.18, 220.20999999999998, 206.18, 220.20999999999998, 278.26, 220.20999999999998, 278.26, 206.18, 336.31, 264.23, 278.26, 350.34, 336.31, 234.24, 292.28999999999996, 292.28999999999996, 408.39, 278.26, 264.23, 192.14999999999998]",151.6072514152758,2.053441547734643,0.813196
Step 580000,580000,0.0021160883917536373,"[2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 3, 5, 4, 4, 5, 5, 3, 4, 4, 6, 4, 4, 3]","[258315, 258842, 2265, 2346, 13539, 13360, 134, 135, 543, 118, 523, 112, 23, 4, 9, 13, 1, 1, 6, 5, 1, 2, 1, 1]",24,"['LA-GA', 'GA-LA', 'GA-GA', 'LA-LA', 'GA-LA-GA', 'LA-GA-LA', 'LA-GA-GA', 'GA-LA-LA', 'GA-LA-GA-LA', 'LA-LA-GA', 'LA-GA-LA-GA', 'GA-GA-LA', 'GA-LA-GA-LA-GA', 'GA-LA-GA-GA', 'GA-LA-LA-GA', 'LA-GA-LA-GA-LA', 'LA-GA-GA-LA-GA', 'LA-LA-LA', 'LA-LA-GA-LA', 'LA-GA-LA-LA', 'LA-GA-LA-GA-LA-GA', 'LA-GA-GA-LA', 'GA-GA-LA-GA', 'GA-GA-GA']","[148.13, 148.13, 134.1, 162.16, 206.18, 220.20999999999998, 206.18, 220.20999999999998, 278.26, 220.20999999999998, 278.26, 206.18, 336.31, 264.23, 278.26, 350.34, 336.31, 234.24, 292.28999999999996, 292.28999999999996, 408.39, 278.26, 264.23, 192.14999999999998]",151.64160447320455,2.0539724767808045,0.8116153333333334
Step 585000,585000,0.002136562962147958,"[2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 3, 5, 4, 4, 5, 5, 3, 4, 4, 6, 4, 4, 3]","[260292, 260896, 2281, 2359, 13741, 13581, 134, 137, 558, 119, 534, 113, 24, 4, 9, 14, 1, 1, 6, 5, 1, 2, 1, 1]",24,"['LA-GA', 'GA-LA', 'GA-GA', 'LA-LA', 'GA-LA-GA', 'LA-GA-LA', 'LA-GA-GA', 'GA-LA-LA', 'GA-LA-GA-LA', 'LA-LA-GA', 'LA-GA-LA-GA', 'GA-GA-LA', 'GA-LA-GA-LA-GA', 'GA-LA-GA-GA', 'GA-LA-LA-GA', 'LA-GA-LA-GA-LA', 'LA-GA-GA-LA-GA', 'LA-LA-LA', 'LA-LA-GA-LA', 'LA-GA-LA-LA', 'LA-GA-LA-GA-LA-GA', 'LA-GA-GA-LA', 'GA-GA-LA-GA', 'GA-GA-GA']","[148.13, 148.13, 134.1, 162.16, 206.18, 220.20999999999998, 206.18, 220.20999999999998, 278.26, 220.20999999999998, 278.26, 206.18, 336.31, 264.23, 278.26, 350.34, 336.31, 234.24, 292.28999999999996, 292.28999999999996, 408.39, 278.26, 264.23, 192.14999999999998]",151.6700948425959,2.054407423028258,0.810032
Step 590000,590000,0.002157403515109955,"[2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 3, 5, 4, 4, 5, 5, 3, 4, 4, 6, 4, 4, 3]","[262218, 262911, 2305, 2373, 13965, 13817, 135, 138, 571, 123, 546, 116, 26, 4, 9, 14, 1, 1, 6, 5, 1, 2, 1, 1]",24,"['LA-GA', 'GA-LA', 'GA-GA', 'LA-LA', 'GA-LA-GA', 'LA-GA-LA', 'LA-GA-GA', 'GA-LA-LA', 'GA-LA-GA-LA', 'LA-LA-GA', 'LA-GA-LA-GA', 'GA-GA-LA', 'GA-LA-GA-LA-GA', 'GA-LA-GA-GA', 'GA-LA-LA-GA', 'LA-GA-LA-GA-LA', 'LA-GA-GA-LA-GA', 'LA-LA-LA', 'LA-LA-GA-LA', 'LA-GA-LA-LA', 'LA-GA-LA-GA-LA-GA', 'LA-GA-GA-LA', 'GA-GA-LA-GA', 'GA-GA-GA']","[148.13, 148.13, 134.1, 162.16, 206.18, 220.20999999999998, 206.18, 220.20999999999998, 278.26, 220.20999999999998, 278.26, 206.18, 336.31, 264.23, 278.26, 350.34, 336.31, 234.24, 292.28999999999996, 292.28999999999996, 408.39, 278.26, 264.23, 192.14999999999998]",151.70273282685696,2.0549107885189946,0.8084513333333333
Step 595000,595000,0.0021779613719702766,"[2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 3, 5, 4, 4, 5, 5, 3, 4, 4, 6, 4, 4, 3]","[264080, 264907, 2326, 2389, 14188, 14086, 136, 141, 583, 126, 563, 119, 26, 5, 9, 16, 1, 1, 6, 5, 1, 3, 1, 1]",24,"['LA-GA', 'GA-LA', 'GA-GA', 'LA-LA', 'GA-LA-GA', 'LA-GA-LA', 'LA-GA-GA', 'GA-LA-LA', 'GA-LA-GA-LA', 'LA-LA-GA', 'LA-GA-LA-GA', 'GA-GA-LA', 'GA-LA-GA-LA-GA', 'GA-LA-GA-GA', 'GA-LA-LA-GA', 'LA-GA-LA-GA-LA', 'LA-GA-GA-LA-GA', 'LA-LA-LA', 'LA-LA-GA-LA', 'LA-GA-LA-LA', 'LA-GA-LA-GA-LA-GA', 'LA-GA-GA-LA', 'GA-GA-LA-GA', 'GA-GA-GA']","[148.13, 148.13, 134.1, 162.16, 206.18, 220.20999999999998, 206.18, 220.20999999999998, 278.26, 220.20999999999998, 278.26, 206.18, 336.31, 264.23, 278.26, 350.34, 336.31, 234.24, 292.28999999999996, 292.28999999999996, 408.39, 278.26, 264.23, 192.14999999999998]",151.74091925232253,2.0554904127765785,0.806886
Step 600000,600000,0.002198491135954938,"[2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 3, 5, 4, 4, 5, 5, 3, 4, 4, 6, 4, 4, 3]","[266055, 266850, 2345, 2402, 14431, 14318, 136, 142, 593, 128, 579, 120, 27, 5, 10, 17, 1, 1, 6, 5, 1, 3, 2, 1]",24,"['LA-GA', 'GA-LA', 'GA-GA', 'LA-LA', 'GA-LA-GA', 'LA-GA-LA', 'LA-GA-GA', 'GA-LA-LA', 'GA-LA-GA-LA', 'LA-LA-GA', 'LA-GA-LA-GA', 'GA-GA-LA', 'GA-LA-GA-LA-GA', 'GA-LA-GA-GA', 'GA-LA-LA-GA', 'LA-GA-LA-GA-LA', 'LA-GA-GA-LA-GA', 'LA-LA-LA', 'LA-LA-GA-LA', 'LA-GA-LA-LA', 'LA-GA-LA-GA-LA-GA', 'LA-GA-GA-LA', 'GA-GA-LA-GA', 'GA-GA-GA']","[148.13, 148.13, 134.1, 162.16, 206.18, 220.20999999999998, 206.18, 220.20999999999998, 278.26, 220.20999999999998, 278.26, 206.18, 336.31, 264.23, 278.26, 350.34, 336.31, 234.24, 292.28999999999996, 292.28999999999996, 408.39, 278.26, 264.23, 192.14999999999998]",151.77424988295925,2.0560070963676877,0.8053056666666667
Step 605000,605000,0.0022188793152862537,"[2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 3, 5, 4, 4, 5, 5, 3, 4, 4, 6, 4, 4, 3]","[267993, 268782, 2363, 2419, 14638, 14607, 139, 144, 608, 132, 590, 120, 27, 5, 10, 18, 1, 1, 6, 5, 1, 4, 2, 1]",24,"['LA-GA', 'GA-LA', 'GA-GA', 'LA-LA', 'GA-LA-GA', 'LA-GA-LA', 'LA-GA-GA', 'GA-LA-LA', 'GA-LA-GA-LA', 'LA-LA-GA', 'LA-GA-LA-GA', 'GA-GA-LA', 'GA-LA-GA-LA-GA', 'GA-LA-GA-GA', 'GA-LA-LA-GA', 'LA-GA-LA-GA-LA', 'LA-GA-GA-LA-GA', 'LA-LA-LA', 'LA-LA-GA-LA', 'LA-GA-LA-LA', 'LA-GA-LA-GA-LA-GA', 'LA-GA-GA-LA', 'GA-GA-LA-GA', 'GA-GA-GA']","[148.13, 148.13, 134.1, 162.16, 206.18, 220.20999999999998, 206.18, 220.20999999999998, 278.26, 220.20999999999998, 278.26, 206.18, 336.31, 264.23, 278.26, 350.34, 336.31, 234.24, 292.28999999999996, 292.28999999999996, 408.39, 278.26, 264.23, 192.14999999999998]",151.81089330371486,2.0565544797909943,0.8037466666666667
Step 610000,610000,0.002239561816596654,"[2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 3, 5, 4, 4, 5, 5, 3, 4, 4, 6, 4, 4, 3]","[269972, 270729, 2380, 2437, 14872, 14839, 138, 147, 619, 133, 609, 122, 28, 5, 10, 18, 1, 1, 6, 5, 1, 5, 2, 1]",24,"['LA-GA', 'GA-LA', 'GA-GA', 'LA-LA', 'GA-LA-GA', 'LA-GA-LA', 'LA-GA-GA', 'GA-LA-LA', 'GA-LA-GA-LA', 'LA-LA-GA', 'LA-GA-LA-GA', 'GA-GA-LA', 'GA-LA-GA-LA-GA', 'GA-LA-GA-GA', 'GA-LA-LA-GA', 'LA-GA-LA-GA-LA', 'LA-GA-GA-LA-GA', 'LA-LA-LA', 'LA-LA-GA-LA', 'LA-GA-LA-LA', 'LA-GA-LA-GA-LA-GA', 'LA-GA-GA-LA', 'GA-GA-LA-GA', 'GA-GA-GA']","[148.13, 148.13, 134.1, 162.16, 206.18, 220.20999999999998, 206.18, 220.20999999999998, 278.26, 220.20999999999998, 278.26, 206.18, 336.31, 264.23, 278.26, 350.34, 336.31, 234.24, 292.28999999999996, 292.28999999999996, 408.39, 278.26, 264.23, 192.14999999999998]",151.8428773653566,2.0570458168711445,0.8021696666666667
Step 615000,615000,0.0022596828962077467,"[2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 3, 5, 4, 4, 5, 5, 3, 4, 4, 6, 4, 4, 3]","[271875, 272691, 2397, 2458, 15129, 15059, 140, 149, 645, 133, 620, 124, 32, 5, 10, 19, 1, 1, 6, 5, 1, 5, 2, 1]",24,"['LA-GA', 'GA-LA', 'GA-GA', 'LA-LA', 'GA-LA-GA', 'LA-GA-LA', 'LA-GA-GA', 'GA-LA-LA', 'GA-LA-GA-LA', 'LA-LA-GA', 'LA-GA-LA-GA', 'GA-GA-LA', 'GA-LA-GA-LA-GA', 'GA-LA-GA-GA', 'GA-LA-LA-GA', 'LA-GA-LA-GA-LA', 'LA-GA-GA-LA-GA', 'LA-LA-LA', 'LA-LA-GA-LA', 'LA-GA-LA-LA', 'LA-GA-LA-GA-LA-GA', 'LA-GA-GA-LA', 'GA-GA-LA-GA', 'GA-GA-GA']","[148.13, 148.13, 134.1, 162.16, 206.18, 220.20999999999998, 206.18, 220.20999999999998, 278.26, 220.20999999999998, 278.26, 206.18, 336.31, 264.23, 278.26, 350.34, 336.31, 234.24, 292.28999999999996, 292.28999999999996, 408.39, 278.26, 264.23, 192.14999999999998]",151.87819596634958,2.0575950803772263,0.8005926666666666
Step 620000,620000,0.002280158633142057,"[2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 3, 5, 4, 4, 5, 5, 3, 4, 4, 6, 4, 4, 3]","[273802, 274615, 2418, 2475, 15387, 15292, 142, 151, 670, 134, 630, 125, 34, 5, 10, 20, 1, 1, 6, 5, 1, 5, 2, 1]",24,"['LA-GA', 'GA-LA', 'GA-GA', 'LA-LA', 'GA-LA-GA', 'LA-GA-LA', 'LA-GA-GA', 'GA-LA-LA', 'GA-LA-GA-LA', 'LA-LA-GA', 'LA-GA-LA-GA', 'GA-GA-LA', 'GA-LA-GA-LA-GA', 'GA-LA-GA-GA', 'GA-LA-LA-GA', 'LA-GA-LA-GA-LA', 'LA-GA-GA-LA-GA', 'LA-LA-LA', 'LA-LA-GA-LA', 'LA-GA-LA-LA', 'LA-GA-LA-GA-LA-GA', 'LA-GA-GA-LA', 'GA-GA-LA-GA', 'GA-GA-GA']","[148.13, 148.13, 134.1, 162.16, 206.18, 220.20999999999998, 206.18, 220.20999999999998, 278.26, 220.20999999999998, 278.26, 206.18, 336.31, 264.23, 278.26, 350.34, 336.31, 234.24, 292.28999999999996, 292.28999999999996, 408.39, 278.26, 264.23, 192.14999999999998]",151.91345075879113,2.058143265771455,0.7990163333333333
Step 625000,625000,0.002300426343193092,"[2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 3, 5, 4, 4, 5, 5, 3, 4, 4, 6, 4, 4, 3]","[275808, 276500, 2441, 2497, 15604, 15553, 144, 152, 685, 135, 645, 126, 36, 5, 10, 20, 1, 1, 6, 5, 1, 5, 2, 1]",24,"['LA-GA', 'GA-LA', 'GA-GA', 'LA-LA', 'GA-LA-GA', 'LA-GA-LA', 'LA-GA-GA', 'GA-LA-LA', 'GA-LA-GA-LA', 'LA-LA-GA', 'LA-GA-LA-GA', 'GA-GA-LA', 'GA-LA-GA-LA-GA', 'GA-LA-GA-GA', 'GA-LA-LA-GA', 'LA-GA-LA-GA-LA', 'LA-GA-GA-LA-GA', 'LA-LA-LA', 'LA-LA-GA-LA', 'LA-GA-LA-LA', 'LA-GA-LA-GA-LA-GA', 'LA-GA-GA-LA', 'GA-GA-LA-GA', 'GA-GA-GA']","[148.13, 148.13, 134.1, 162.16, 206.18, 220.20999999999998, 206.18, 220.20999999999998, 278.26, 220.20999999999998, 278.26, 206.18, 336.31, 264.23, 278.26, 350.34, 336.31, 234.24, 292.28999999999996, 292.28999999999996, 408.39, 278.26, 264.23, 192.14999999999998]",151.94589432622553,2.058634818414487,0.7974476666666667
Step 630000,630000,0.0023204597223094622,"[2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 3, 5, 4, 4, 5, 5, 3, 4, 4, 6, 4, 4, 3]","[277631, 278513, 2457, 2520, 15824, 15830, 145, 156, 700, 135, 666, 129, 37, 5, 10, 20, 1, 1, 7, 5, 1, 5, 2, 1]",24,"['LA-GA', 'GA-LA', 'GA-GA', 'LA-LA', 'GA-LA-GA', 'LA-GA-LA', 'LA-GA-GA', 'GA-LA-LA', 'GA-LA-GA-LA', 'LA-LA-GA', 'LA-GA-LA-GA', 'GA-GA-LA', 'GA-LA-GA-LA-GA', 'GA-LA-GA-GA', 'GA-LA-LA-GA', 'LA-GA-LA-GA-LA', 'LA-GA-GA-LA-GA', 'LA-LA-LA', 'LA-LA-GA-LA', 'LA-GA-LA-LA', 'LA-GA-LA-GA-LA-GA', 'LA-GA-GA-LA', 'GA-GA-LA-GA', 'GA-GA-GA']","[148.13, 148.13, 134.1, 162.16, 206.18, 220.20999999999998, 206.18, 220.20999999999998, 278.26, 220.20999999999998, 278.26, 206.18, 336.31, 264.23, 278.26, 350.34, 336.31, 234.24, 292.28999999999996, 292.28999999999996, 408.39, 278.26, 264.23, 192.14999999999998]",151.98206489229173,2.0591777754240495,0.79589
Step 635000,635000,0.0023410077490324762,"[2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 3, 5, 4, 4, 5, 5, 3, 4, 4, 6, 4, 4, 3]","[279514, 280523, 2478, 2531, 16079, 16056, 146, 160, 715, 138, 681, 131, 37, 5, 10, 20, 1, 1, 7, 6, 1, 5, 2, 1]",24,"['LA-GA', 'GA-LA', 'GA-GA', 'LA-LA', 'GA-LA-GA', 'LA-GA-LA', 'LA-GA-GA', 'GA-LA-LA', 'GA-LA-GA-LA', 'LA-LA-GA', 'LA-GA-LA-GA', 'GA-GA-LA', 'GA-LA-GA-LA-GA', 'GA-LA-GA-GA', 'GA-LA-LA-GA', 'LA-GA-LA-GA-LA', 'LA-GA-GA-LA-GA', 'LA-LA-LA', 'LA-LA-GA-LA', 'LA-GA-LA-LA', 'LA-GA-LA-GA-LA-GA', 'LA-GA-GA-LA', 'GA-GA-LA-GA', 'GA-GA-GA']","[148.13, 148.13, 134.1, 162.16, 206.18, 220.20999999999998, 206.18, 220.20999999999998, 278.26, 220.20999999999998, 278.26, 206.18, 336.31, 264.23, 278.26, 350.34, 336.31, 234.24, 292.28999999999996, 292.28999999999996, 408.39, 278.26, 264.23, 192.14999999999998]",152.01301896710544,2.0596614423410675,0.7943083333333333
Step 640000,640000,0.0023619204843794723,"[2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 3, 5, 4, 4, 5, 5, 3, 4, 4, 6, 4, 4, 3]","[281464, 282398, 2492, 2541, 16347, 16303, 147, 161, 734, 141, 697, 132, 38, 5, 10, 20, 1, 1, 7, 6, 1, 5, 2, 1]",24,"['LA-GA', 'GA-LA', 'GA-GA', 'LA-LA', 'GA-LA-GA', 'LA-GA-LA', 'LA-GA-GA', 'GA-LA-LA', 'GA-LA-GA-LA', 'LA-LA-GA', 'LA-GA-LA-GA', 'GA-GA-LA', 'GA-LA-GA-LA-GA', 'GA-LA-GA-GA', 'GA-LA-LA-GA', 'LA-GA-LA-GA-LA', 'LA-GA-GA-LA-GA', 'LA-LA-LA', 'LA-LA-GA-LA', 'LA-GA-LA-LA', 'LA-GA-LA-GA-LA-GA', 'LA-GA-GA-LA', 'GA-GA-LA-GA', 'GA-GA-GA']","[148.13, 148.13, 134.1, 162.16, 206.18, 220.20999999999998, 206.18, 220.20999999999998, 278.26, 220.20999999999998, 278.26, 206.18, 336.31, 264.23, 278.26, 350.34, 336.31, 234.24, 292.28999999999996, 292.28999999999996, 408.39, 278.26, 264.23, 192.14999999999998]",152.0483763215352,2.0602099878407167,0.792736
Step 645000,645000,0.002382517071661616,"[2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 3, 5, 4, 4, 5, 5, 3, 4, 4, 6, 4, 4, 3]","[283399, 284334, 2505, 2557, 16579, 16563, 148, 163, 752, 144, 711, 134, 38, 5, 10, 21, 1, 1, 7, 6, 1, 5, 2, 1]",24,"['LA-GA', 'GA-LA', 'GA-GA', 'LA-LA', 'GA-LA-GA', 'LA-GA-LA', 'LA-GA-GA', 'GA-LA-LA', 'GA-LA-GA-LA', 'LA-LA-GA', 'LA-GA-LA-GA', 'GA-GA-LA', 'GA-LA-GA-LA-GA', 'GA-LA-GA-GA', 'GA-LA-LA-GA', 'LA-GA-LA-GA-LA', 'LA-GA-GA-LA-GA', 'LA-LA-LA', 'LA-LA-GA-LA', 'LA-GA-LA-LA', 'LA-GA-LA-GA-LA-GA', 'LA-GA-GA-LA', 'GA-GA-LA-GA', 'GA-GA-GA']","[148.13, 148.13, 134.1, 162.16, 206.18, 220.20999999999998, 206.18, 220.20999999999998, 278.26, 220.20999999999998, 278.26, 206.18, 336.31, 264.23, 278.26, 350.34, 336.31, 234.24, 292.28999999999996, 292.28999999999996, 408.39, 278.26, 264.23, 192.14999999999998]",152.08090661369184,2.0607034848631858,0.79117
Step 650000,650000,0.00240344006437054,"[2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 3, 5, 4, 4, 5, 5, 3, 4, 4, 6, 4, 4, 3]","[285321, 286287, 2521, 2572, 16820, 16788, 150, 167, 770, 146, 732, 137, 39, 5, 10, 25, 1, 1, 8, 6, 1, 5, 2, 1]",24,"['LA-GA', 'GA-LA', 'GA-GA', 'LA-LA', 'GA-LA-GA', 'LA-GA-LA', 'LA-GA-GA', 'GA-LA-LA', 'GA-LA-GA-LA', 'LA-LA-GA', 'LA-GA-LA-GA', 'GA-GA-LA', 'GA-LA-GA-LA-GA', 'GA-LA-GA-GA', 'GA-LA-LA-GA', 'LA-GA-LA-GA-LA', 'LA-GA-GA-LA-GA', 'LA-LA-LA', 'LA-LA-GA-LA', 'LA-GA-LA-LA', 'LA-GA-LA-GA-LA-GA', 'LA-GA-GA-LA', 'GA-GA-LA-GA', 'GA-GA-GA']","[148.13, 148.13, 134.1, 162.16, 206.18, 220.20999999999998, 206.18, 220.20999999999998, 278.26, 220.20999999999998, 278.26, 206.18, 336.31, 264.23, 278.26, 350.34, 336.31, 234.24, 292.28999999999996, 292.28999999999996, 408.39, 278.26, 264.23, 192.14999999999998]",152.11296849873065,2.0611985012611935,0.7895966666666666
Step 655000,655000,0.0024240278042639216,"[2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 3, 5, 4, 4, 5, 5, 3, 4, 4, 6, 4, 4, 3]","[287234, 288223, 2533, 2586, 17071, 17022, 152, 169, 789, 149, 746, 145, 40, 5, 10, 29, 1, 1, 9, 6, 1, 5, 3, 1]",24,"['LA-GA', 'GA-LA', 'GA-GA', 'LA-LA', 'GA-LA-GA', 'LA-GA-LA', 'LA-GA-GA', 'GA-LA-LA', 'GA-LA-GA-LA', 'LA-LA-GA', 'LA-GA-LA-GA', 'GA-GA-LA', 'GA-LA-GA-LA-GA', 'GA-LA-GA-GA', 'GA-LA-LA-GA', 'LA-GA-LA-GA-LA', 'LA-GA-GA-LA-GA', 'LA-LA-LA', 'LA-LA-GA-LA', 'LA-GA-LA-LA', 'LA-GA-LA-GA-LA-GA', 'LA-GA-GA-LA', 'GA-GA-LA-GA', 'GA-GA-GA']","[148.13, 148.13, 134.1, 162.16, 206.18, 220.20999999999998, 206.18, 220.20999999999998, 278.26, 220.20999999999998, 278.26, 206.18, 336.31, 264.23, 278.26, 350.34, 336.31, 234.24, 292.28999999999996, 292.28999999999996, 408.39, 278.26, 264.23, 192.14999999999998]",152.145991684632,2.0617087838166404,0.788025
Step 660000,660000,0.0024449266656333965,"[2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 3, 5, 4, 4, 5, 5, 3, 4, 4, 6, 4, 4, 3, 5]","[289181, 290135, 2545, 2599, 17309, 17283, 154, 169, 809, 150, 761, 145, 40, 5, 10, 29, 1, 1, 9, 6, 1, 6, 3, 1, 1]",25,"['LA-GA', 'GA-LA', 'GA-GA', 'LA-LA', 'GA-LA-GA', 'LA-GA-LA', 'LA-GA-GA', 'GA-LA-LA', 'GA-LA-GA-LA', 'LA-LA-GA', 'LA-GA-LA-GA', 'GA-GA-LA', 'GA-LA-GA-LA-GA', 'GA-LA-GA-GA', 'GA-LA-LA-GA', 'LA-GA-LA-GA-LA', 'LA-GA-GA-LA-GA', 'LA-LA-LA', 'LA-LA-GA-LA', 'LA-GA-LA-LA', 'LA-GA-LA-GA-LA-GA', 'LA-GA-GA-LA', 'GA-GA-LA-GA', 'GA-GA-GA', 'GA-LA-GA-LA-LA']","[148.13, 148.13, 134.1, 162.16, 206.18, 220.20999999999998, 206.18, 220.20999999999998, 278.26, 220.20999999999998, 278.26, 206.18, 336.31, 264.23, 278.26, 350.34, 336.31, 234.24, 292.28999999999996, 292.28999999999996, 408.39, 278.26, 264.23, 192.14999999999998, 350.34]",152.17810732385618,2.0621981385782315,0.7864586666666666
