 Mn Mw
0 148.13 148.13
1 148.15003200640126 148.1670712779999
2 148.16746173086543 148.19325769488492
3 148.18877894174955 148.22704672567227
4 148.22884443999402 148.27949517987335
5 148.23587556588276 148.29456896022083
6 148.25503022409242 148.3236246937644
7 148.27452236412577 148.35182927199287
8 148.3104244065077 148.4020808636261
9 148.33748233353396 148.44195700880908
10 148.37346522131887 148.4934847940486
11 148.39032074335054 148.51940844561275
12 148.41614202490962 148.5570330898758
13 148.44053038383655 148.5937853852192
14 148.47262217626707 148.63918531253674
15 148.49951835016157 148.67759238397434
16 148.52936172353512 148.72137174749557
17 148.5534463403948 148.7559399493239
18 148.57028950488845 148.78065277186138
19 148.59397432363664 148.8142102801508
20 148.61771217860883 148.84857629318887
21 148.65370419438764 148.90078029706277
22 148.6878352557167 148.9508035092923
23 148.72293440968718 149.00152689909388
24 148.75415307993873 149.0461544711803
25 148.78718924990105 149.0952969344183
26 148.8139723290972 149.13351552898882
27 148.84881267083537 149.18255746920198
28 148.87949710661107 149.2261189262053
29 148.9044710693053 149.26223849681602
30 148.93265742146647 149.30324999978333
31 148.95578702554388 149.3362101621002
32 148.98791126616982 149.3815867518514
33 149.01177269767953 149.41587325577427
34 149.04186383968508 149.46047222824575
35 149.072850559655 149.50509179778487
36 149.1096836163926 149.5586490915749
37 149.14144670830908 149.60338230305786
38 149.1799279155949 149.65929732428197
39 149.21122559726425 149.70544437563902
40 149.23602089741962 149.74022999332846
41 149.2754346283088 149.79705278559365
42 149.3025504852204 149.8364414201348
43 149.34373116226627 149.89544211149237
44 149.36321497214263 149.92409163450668
45 149.39702915524543 149.97214843724404
46 149.42965451489744 150.01872856966594
47 149.45796369304512 150.06054509168513
48 149.49203340734502 150.10900496648992
49 149.52325739511767 150.15503357841837
50 149.5520684003809 150.19657853259326
51 149.5867489706985 150.2465344509614
52 149.6161467323321 150.29020157920587
53 149.64444674821232 150.33002763970757
54 149.67455222720565 150.374798909418
55 149.71129629491685 150.42796111352882
56 149.74756361972726 150.48125760838334
57 149.76464944556534 150.50610874785644
58 149.7947877347648 150.5505678008553
59 149.8228925769295 150.59148918530326
60 149.8617143903257 150.64830216462718
61 149.8933483181633 150.69291536855022
62 149.92036146694733 150.731715439069
63 149.9503776909748 150.7743110709572
64 149.98437303747795 150.8231932582365
65 150.00936669990662 150.8594793898999
66 150.04469498271845 150.9106895496499
67 150.073969909649 150.95280887791446
68 150.10316652474702 150.99526252777795
69 150.13084693453794 151.03512702682914
70 150.172342046871 151.09609453278452
71 150.2069662731921 151.145830388681
72 150.23649971323692 151.18776145316656
73 150.2657036383083 151.23070631572116
74 150.29168798239633 151.2695538328725
75 150.32270353188287 151.3149164258205
76 150.35789389456951 151.36580211928916
77 150.38787806470862 151.41022050404254
78 150.4103003120953 151.44221292477164
79 150.44727002928462 151.49570911555642
80 150.47978146676542 151.544104210276
81 150.51707462098233 151.59686897283035
82 150.54583414488542 151.63755408607756
83 150.57996619568993 151.6865973201462
84 150.6050979330867 151.72308980377673
85 150.63135645731936 151.7613948805703
86 150.66223731991295 151.80588481390686
87 150.69551066783592 151.8530348606307
88 150.72808340167663 151.8996500686423
89 150.756592228402 151.94130851285274
90 150.79335023466794 151.9953216542694
91 150.828685367026 152.047034114362
92 150.86034345525542 152.09271689096317
93 150.8881513479102 152.13242448284657
94 150.9155044629882 152.17219248513143
95 150.95081671114627 152.2230938234435
96 150.98128355177462 152.26619737486516
97 151.0129659057143 152.3114336525609
98 151.0424597070808 152.35405571189946
99 151.07250160479748 152.39728536521346
100 151.10581626677373 152.44521323173635
101 151.138434750361 152.4911661473816
102 151.17090668954464 152.53764531873495
103 151.20823538981827 152.59139440410917
104 151.23983521166772 152.63729756047752
105 151.26875115059227 152.67979273065941
106 151.29930095473657 152.7235801628802
107 151.32988178375527 152.76687487060562
108 151.3618334110878 152.8126909060799
